Array Size (bytes), Bandwidth (GB/s)
96 , 42.1752
144 , 42.664
192 , 44.2359
288 , 45.0763
384 , 45.4307
576 , 46.1028
768 , 46.4385
1152 , 47.5479
1536 , 47.902
2304 , 48.3297
3072 , 48.1697
4608 , 44.074
6144 , 40.5316
9216 , 40.1811
12288 , 39.3526
18432 , 39.8251
24576 , 38.4476
36864 , 36.9555
49152 , 45.6679
73728 , 42.0131
98304 , 41.5268
147456 , 41.7666
196608 , 41.8812
294912 , 41.4272
393216 , 40.4821
589824 , 39.1508
786432 , 35.7781
1179648 , 31.2807
1572864 , 19.0543
2359296 , 18.4001
3145728 , 16.5237
4718592 , 15.5117
6291456 , 15.684
7791456 , 0
9291456 , -nan
